"ListingKey","ListingNumber","ListingCreationDate","CreditGrade","Term","LoanStatus","ClosedDate","BorrowerAPR","BorrowerRate","LenderYield","EstimatedEffectiveYield","EstimatedLoss","EstimatedReturn","ProsperRating (numeric)","ProsperRating (Alpha)","ProsperScore","ListingCategory (numeric)","BorrowerState","Occupation","EmploymentStatus","EmploymentStatusDuration","IsBorrowerHomeowner","CurrentlyInGroup","GroupKey","DateCreditPulled","CreditScoreRangeLower","CreditScoreRangeUpper","FirstRecordedCreditLine","CurrentCreditLines","OpenCreditLines","TotalCreditLinespast7years","OpenRevolvingAccounts","OpenRevolvingMonthlyPayment","InquiriesLast6Months","TotalInquiries","CurrentDelinquencies","AmountDelinquent","DelinquenciesLast7Years","PublicRecordsLast10Years","PublicRecordsLast12Months","RevolvingCreditBalance","BankcardUtilization","AvailableBankcardCredit","TotalTrades","TradesNeverDelinquent (percentage)","TradesOpenedLast6Months","DebtToIncomeRatio","IncomeRange","IncomeVerifiable","StatedMonthlyIncome","LoanKey","TotalProsperLoans","TotalProsperPaymentsBilled","OnTimeProsperPayments","ProsperPaymentsLessThanOneMonthLate","ProsperPaymentsOneMonthPlusLate","ProsperPrincipalBorrowed","ProsperPrincipalOutstanding","ScorexChangeAtTimeOfListing","LoanCurrentDaysDelinquent","LoanFirstDefaultedCycleNumber","LoanMonthsSinceOrigination","LoanNumber","LoanOriginalAmount","LoanOriginationDate","LoanOriginationQuarter","MemberKey","MonthlyLoanPayment","LP_CustomerPayments","LP_CustomerPrincipalPayments","LP_InterestandFees","LP_ServiceFees","LP_CollectionFees","LP_GrossPrincipalLoss","LP_NetPrincipalLoss","LP_NonPrincipalRecoverypayments","PercentFunded","Recommendations","InvestmentFromFriendsCount","InvestmentFromFriendsAmount","Investors"
"1021339766868145413AB3B","193129","2007-08-26 19:09:29.263000000","C","36","Completed","2009-08-14 00:00:00",".165160",".158000",".138000","","","","","","","0","CO","Other","Self-employed","2","True","True","","2007-08-26 18:41:46.780000000","640","659","2001-10-11 00:00:00","5","4","12","1","24.000000","3","3.000000","2","472.000000","4","0","0",".000000",".000000","1500.000000","11.000000",".810000",".000000",".170000","$25,000-49,999","True","3083.333333","E33A3400205839220442E84","","","","","","","","","0","","78","19141","9425","2007-09-12 00:00:00","Q3 2007","1F3E3376408759268057EDA","330.430000","11396.140000","9425.000000","1971.140000","-133.180000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","258"
"10273602499503308B223C1","1209647","2014-02-27 08:28:07.900000000","","36","Current","",".120160",".092000",".082000",".079600",".024900",".054700","6","A","7.000000","2","CO","Professional","Employed","44","False","False","","2014-02-27 08:28:14","680","699","1996-03-18 00:00:00","14","14","29","13","389.000000","3","5.000000","0",".000000","0","1","0","3989.000000",".210000","10266.000000","29.000000","1.000000","2.000000",".180000","$50,000-74,999","True","6125.000000","9E3B37071505919926B1D82","","","","","","","","","0","","0","134815","10000","2014-03-03 00:00:00","Q1 2014","1D13370546739025387B2F4","318.930000",".000000",".000000",".000000",".000000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0EE9337825851032864889A","81716","2007-01-05 15:00:47.090000000","HR","36","Completed","2009-12-17 00:00:00",".282690",".275000",".240000","","","","","","","0","GA","Other","Not available","","False","True","783C3371218786870A73D20","2007-01-02 14:09:10.060000000","480","499","2002-07-27 00:00:00","","","3","0",".000000","0","1.000000","1","","0","0","","","","","","","",".060000","Not displayed","True","2083.333333","6954337960046817851BCB2","","","","","","","","","0","","86","6466","3001","2007-01-17 00:00:00","Q1 2007","5F7033715035555618FA612","123.320000","4186.630000","3001.000000","1185.630000","-24.200000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","41"
"0EF5356002482715299901A","658116","2012-10-22 11:02:35.010000000","","36","Current","",".time","32","False","True","AD9A3400384972497EDAD38","2008-08-05 19:36:35.233000000","660","679","1999-05-18 00:00:00","10","9","28","6","151.000000","1","7.000000","0",".000000","29","0","0","4519.000000",".680000","2031.000000","27.000000",".810000",".000000",".270000","$25,000-49,999","True","3166.666667","14EE3428953999691D705E3","1","9","9","0","0","6000.000000","4317.110000","0","0","","67","35508","4000","2008-08-15 00:00:00","Q3 2008","98C934028624318592C6882","138.660000","4667.640000","4000.000000","667.640000","-44.510000",".000000",".000000",".000000",".000000","1.000000","2","1","789.590000","103"
"0F8B3577039176552F6CC26","765126","2013-05-01 08:18:59.183000000","","36","Current","",".158330",".129900",".119900",".114800",".039900",".074900","6","A","8.000000","1","CO","Professional","Employed","90","True","True","52EA3425051368132B80C96","2013-05-01 08:18:52","680","699","1996-08-03 00:00:00","15","15","33","11","561.000000","2","3.000000","0",".000000","0","0","0","20812.000000",".840000","3595.000000","27.000000",".880000","2.000000",".350000","$50,000-74,999","True","5416.666667","76BB3680997666469826273","3","20","20","0","0","27000.000000","11308.140000","14","0","","10","90027","15000","2013-05-13 00:00:00","Q2 2013","78E3342690661185038B6FA","505.340000","4737.380000","3439.320000","1298.060000","-99.940000",".000000",".000000",".000000",".000000","1.000000","1","0",".000000","1"
"0F923587782964897A58B1B","875992","2013-08-20 19:25:08.830000000","","60","Current","",".175220",".151900",".141900",".135000",".047400",".087600","5","B","6.000000","1","NJ","Attorney","Employed","10","True","False","","2013-08-20 19:28:51","720","739","1994-09-01 00:00:00","19","17","41","7","846.000000","0",".000000","0",".000000","0","0","0","153812.000000",".970000","3507.000000","39.000000",".940000","1.000000",".250000","$100,000+","True","14583.333333","E60D3691534567941518FEF","","","","","","","","","0","","7","100426","15000","2013-08-28 00:00:00","Q3 2013","88CC3586699121406894A4C","358.350000","2150.097500","1034.050000","1116.047500","-62.490000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0F9D3585166658459B9AC30","860928","2013-08-05 17:38:57.243000000","","60","Current","",".116950",".094900",".084900",".082700",".022400",".060300","6","A","10.000000","1","NV","Professional","Employed","145","True","False","","2013-08-06 11:02:24","780","799","1995-08-29 00:00:00","11","10","30","9","1010.000000","0","2.000000","0",".000000","1","0","0","42592.000000",".360000","66742.000000","26.000000",".920000",".000000",".210000","$75,000-99,999","True","7458.333333","4B7D3690967382210BC1EE9","","","","","","","","","0","","7","99129","25000","2013-08-21 00:00:00","Q3 2013","42F63584959678531EA5F76","524.920000","3149.520000","1993.020000","1156.500000","-121.870000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","481"
"0FA035965589061761C3D7A","1081059","2013-12-12 08:52:08.730000000","","60","Current","",".239840",".215000",".205000",".188280",".102500",".085780","3","D","5.000000","1","TX","Nurse (RN)","Employed","43","True","False","","2013-12-01 09:30:48","640","659","1993-10-06 00:00:00","12","11","48","10","347.000000","1","9.000000","2","579.000000","18","0","0","3706.000000",".370000","3414.000000","40.000000",".760000","1.000000",".120000","$75,000-99,999","True","7916.666667","57B83701692485453F2751B","","","","","","","","","0","","3","122926","10000","2013-12-19 00:00:00","Q4 2013","F4423700140409874BD514D","273.350000","540.809600","183.150000","357.659600","-16.910000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","1"
"0FA935298156996977CF764","536427","2011-10-30 17:25:09.443000000","","36","Current","",".202000",".179900",".169900",".166900",".059500",".107400","5","B","8.000000","1","AR","Nurse (RN)","Employed","0","True","False","","2011-10-30 17:25:05","640","659","1994-05-02 00:00:00","5","5","27","3","73.000000","1","2.000000","0",".000000","0","1","0","1287.000000",".910000","113.000000","20.000000",".950000","1.000000",".110000","$50,000-74,999","True","4853.333333","50AE363406953988501A07E","","","","","","","","","0","","28","55623","2500","2011-11-07 00:00:00","Q4 2011","DFD93530337377241316099","90.370000","2439.990000","1743.390000","696.600000","-38.690000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","51"
"0FAA357428986754861A3E6","733454","2013-03-20 14:08:52.343000000","","36","Current","",".143480",".115300",".105300",".101500",".032400",".069100","6","A","6.000000","1","MI","Other","Employed","209","True","False","","2013-03-10 17:15:33","720","739","1984-04-01 00:00:00","9","9","47","7","445.000000","0","17.000000","0",".000000","0","1","0","7465.000000",".610000","3881.000000","40.000000",".970000",".000000",".280000","$75,000-99,999","True","8166.666667","8C9F367865020548458A3B8","","","","","","","","","0","","12","87340","7000","2013-03-27 00:00:00","Q1 2013","01C73573742344881C0C482","230.930000","2540.230000","1884.630000","655.600000","-56.880000",".000000",".000000",".000000",".000000","1.000000","0","0",".000000","87"
